Total Nacional;Comunidades y Ciudades Autonomas;Titular de la vivienda;Periodo;Total
Total Nacional;10 Comunitat Valenciana;Persona fisica;2021;2878
Total Nacional;10 Comunitat Valenciana;Persona fisica;2020;1909
Total Nacional;10 Comunitat Valenciana;Persona fisica;2019;1195
Total Nacional;10 Comunitat Valenciana;Persona fisica;2018;1474
Total Nacional;10 Comunitat Valenciana;Persona fisica;2017;2147
Total Nacional;10 Comunitat Valenciana;Persona fisica;2016;4448
Total Nacional;10 Comunitat Valenciana;Persona fisica;2015;7459
Total Nacional;10 Comunitat Valenciana;Persona fisica;2014;8208
Total Nacional;10 Comunitat Valenciana;Persona juridica;2023;258
Total Nacional;10 Comunitat Valenciana;Persona juridica;2022;503
Total Nacional;10 Comunitat Valenciana;Persona juridica;2021;1681
Total Nacional;10 Comunitat Valenciana;Persona juridica;2020;2617
Total Nacional;10 Comunitat Valenciana;Persona juridica;2019;4195
Total Nacional;10 Comunitat Valenciana;Persona juridica;2018;3933
Total Nacional;10 Comunitat Valenciana;Persona juridica;2017;3185
Total Nacional;10 Comunitat Valenciana;Persona juridica;2016;3101
Total Nacional;10 Comunitat Valenciana;Persona juridica;2015;3255
Total Nacional;10 Comunitat Valenciana;Persona juridica;2014;2952
Total Nacional;11 Extremadura;Total;2023;153
Total Nacional;11 Extremadura;Total;2022;215
Total Nacional;11 Extremadura;Total;2021;245
Total Nacional;11 Extremadura;Total;2020;158
Total Nacional;11 Extremadura;Total;2019;412
Total Nacional;11 Extremadura;Total;2018;467
Total Nacional;11 Extremadura;Total;2017;312
Total Nacional;11 Extremadura;Total;2016;521
Total Nacional;11 Extremadura;Total;2015;828
Total Nacional;11 Extremadura;Total;2014;1363
Total Nacional;11 Extremadura;Persona fisica;2023;146
Total Nacional;11 Extremadura;Persona fisica;2022;189
Total Nacional;11 Extremadura;Persona fisica;2021;173
Total Nacional;11 Extremadura;Persona fisica;2020;132
Total Nacional;11 Extremadura;Persona fisica;2019;167
Total Nacional;11 Extremadura;Persona fisica;2018;233
Total Nacional;11 Extremadura;Persona fisica;2017;222
Total Nacional;11 Extremadura;Persona fisica;2016;427
Total Nacional;11 Extremadura;Persona fisica;2015;612
Total Nacional;11 Extremadura;Persona fisica;2014;820
Total Nacional;11 Extremadura;Persona juridica;2023;7
Total Nacional;11 Extremadura;Persona juridica;2022;26
Total Nacional;11 Extremadura;Persona juridica;2021;72
Total Nacional;11 Extremadura;Persona juridica;2020;26
Total Nacional;11 Extremadura;Persona juridica;2019;245
Total Nacional;11 Extremadura;Persona juridica;2018;234
Total Nacional;11 Extremadura;Persona juridica;2017;90
Total Nacional;11 Extremadura;Persona juridica;2016;94
Total Nacional;11 Extremadura;Persona juridica;2015;216
Total Nacional;11 Extremadura;Persona juridica;2014;543
Total Nacional;12 Galicia;Total;2023;289
Total Nacional;12 Galicia;Total;2022;465
Total Nacional;12 Galicia;Total;2021;663
Total Nacional;12 Galicia;Total;2020;773
Total Nacional;12 Galicia;Total;2019;1368
Total Nacional;12 Galicia;Total;2018;1071
Total Nacional;12 Galicia;Total;2017;780
Total Nacional;12 Galicia;Total;2016;711
Total Nacional;12 Galicia;Total;2015;1226
Total Nacional;12 Galicia;Total;2014;1751
Total Nacional;12 Galicia;Persona fisica;2023;263
Total Nacional;12 Galicia;Persona fisica;2022;334
Total Nacional;12 Galicia;Persona fisica;2021;322
Total Nacional;12 Galicia;Persona fisica;2020;252
Total Nacional;12 Galicia;Persona fisica;2019;258
Total Nacional;12 Galicia;Persona fisica;2018;275
Total Nacional;12 Galicia;Persona fisica;2017;328
Total Nacional;12 Galicia;Persona fisica;2016;440
Total Nacional;12 Galicia;Persona fisica;2015;754
Total Nacional;12 Galicia;Persona fisica;2014;1070
Total Nacional;12 Galicia;Persona juridica;2023;26
Total Nacional;12 Galicia;Persona juridica;2022;131
Total Nacional;12 Galicia;Persona juridica;2021;341
Total Nacional;12 Galicia;Persona juridica;2020;521
Total Nacional;12 Galicia;Persona juridica;2019;1110
Total Nacional;12 Galicia;Persona juridica;2018;796
Total Nacional;12 Galicia;Persona juridica;2017;452
Total Nacional;12 Galicia;Persona juridica;2016;271
Total Nacional;12 Galicia;Persona juridica;2015;472
Total Nacional;12 Galicia;Persona juridica;2014;681
Total Nacional;13 Madrid, Comunidad de;Total;2023;1185
Total Nacional;13 Madrid, Comunidad de;Total;2022;1455
Total Nacional;13 Madrid, Comunidad de;Total;2021;1750
Total Nacional;13 Madrid, Comunidad de;Total;2020;1286
Total Nacional;13 Madrid, Comunidad de;Total;2019;1466
Total Nacional;13 Madrid, Comunidad de;Total;2018;1646
Total Nacional;13 Madrid, Comunidad de;Total;2017;2305
Total Nacional;13 Madrid, Comunidad de;Total;2016;3511
Total Nacional;13 Madrid, Comunidad de;Total;2015;4250
Total Nacional;13 Madrid, Comunidad de;Total;2014;4424
Total Nacional;13 Madrid, Comunidad de;Persona fisica;2023;1087
Total Nacional;13 Madrid, Comunidad de;Persona fisica;2022;1289
Total Nacional;13 Madrid, Comunidad de;Persona fisica;2021;1440
Total Nacional;13 Madrid, Comunidad de;Persona fisica;2020;876
Total Nacional;13 Madrid, Comunidad de;Persona fisica;2019;651
Total Nacional;13 Madrid, Comunidad de;Persona fisica;2018;591
Total Nacional;13 Madrid, Comunidad de;Persona fisica;2017;1239
Total Nacional;13 Madrid, Comunidad de;Persona fisica;2016;2328
Total Nacional;13 Madrid, Comunidad de;Persona fisica;2015;3319
Total Nacional;13 Madrid, Comunidad de;Persona fisica;2014;3531
Total Nacional;13 Madrid, Comunidad de;Persona juridica;2023;98
Total Nacional;13 Madrid, Comunidad de;Persona juridica;2022;166
Total Nacional;13 Madrid, Comunidad de;Persona juridica;2021;310
Total Nacional;13 Madrid, Comunidad de;Persona juridica;2020;410
Total Nacional;13 Madrid, Comunidad de;Persona juridica;2019;815
Total Nacional;13 Madrid, Comunidad de;Persona juridica;2018;1055
Total Nacional;13 Madrid, Comunidad de;Persona juridica;2017;1066
Total Nacional;13 Madrid, Comunidad de;Persona juridica;2016;1183
Total Nacional;13 Madrid, Comunidad de;Persona juridica;2015;931
Total Nacional;13 Madrid, Comunidad de;Persona juridica;2014;893
Total Nacional;14 Murcia, Region de;Total;2023;554
Total Nacional;14 Murcia, Region de;Total;2022;806
Total Nacional;14 Murcia, Region de;Total;2021;984
Total Nacional;14 Murcia, Region de;Total;2020;1077
Total Nacional;14 Murcia, Region de;Total;2019;2055
Total Nacional;14 Murcia, Region de;Total;2018;1453
Total Nacional;14 Murcia, Region de;Total;2017;1639
Total Nacional;14 Murcia, Region de;Total;2016;2585
Total Nacional;14 Murcia, Region de;Total;2015;3612
Total Nacional;14 Murcia, Region de;Total;2014;3709
Total Nacional;14 Murcia, Region de;Persona fisica;2023;502
Total Nacional;14 Murcia, Region de;Persona fisica;2022;738
Total Nacional;14 Murcia, Region de;Persona fisica;2021;809
Total Nacional;14 Murcia, Region de;Persona fisica;2020;433
Total Nacional;14 Murcia, Region de;Persona fisica;2019;244
Total Nacional;14 Murcia, Region de;Persona fisica;2018;322
Total Nacional;14 Murcia, Region de;Persona fisica;2017;579
Total Nacional;14 Murcia, Region de;Persona fisica;2016;1795
